Row,volume,FA,E1,E2,E3
SUPERIOR PARIETAL left,7389.36411550865,0.429912209510803,0.00100752024445683,0.000637252232991159,0.000400210992665961
CINGULATE  left,5275.74649079905,0.342541247606277,0.00100302998907864,0.000685950624756515,0.000497690052725375
SUPERIOR FRONTAL  left,13399.8227999077,0.398527503013611,0.00111575401388109,0.000729582039639354,0.000475566164823249
MIDDLE FRONTAL  left,10068.7252157829,0.392111092805862,0.00107173260767013,0.000690652406774461,0.000470393599243835
INFERIOR FRONTAL  left,9993.29275237429,0.419758588075638,0.0011158554116264,0.000704717298503965,0.000450969615485519
PRECENTRAL  left,13202.1897457771,0.438867121934891,0.00110150710679591,0.000666272710077465,0.000424714875407517
POSTCENTRAL  left,6153.78036487541,0.444108843803406,0.000943571794778109,0.000580158375669271,0.000376057898392901
ANGULAR  left,2857.38171391862,0.423115372657776,0.00104670668952167,0.000626250403001904,0.000427445251261815
PRE-CUNEUS left,1798.30992766156,0.373795092105865,0.000821958237793297,0.000542118737939745,0.000390859640901908
CUNEUS left,2344.44096273998,0.366470754146576,0.000983714708127081,0.000628157402388752,0.000469305319711566
LINGUAL  left,3617.74094507753,0.365901589393616,0.00106302287895232,0.000694733229465783,0.000501099275425076
FUSIFORM  left,5794.72183905037,0.35130849480629,0.00101768237072974,0.000702377408742905,0.000493057072162628
PARAHIPPOCAMPAL  left,187.072509253383,0.370867520570755,0.000964233244303614,0.000635065604001284,0.000473613734357059
SUPERIOR OCCIPITAL  left,1840.55210717039,0.451831847429276,0.00112434849143028,0.000643662293441594,0.000427362334448844
INFERIOR OCCIPITAL left,1540.33090280407,0.368711203336716,0.0010915492894128,0.000708049105014652,0.000509286939632148
MIDDLE OCCIPITAL left,4480.68832647217,0.358409941196442,0.00104673788882792,0.000690133951138705,0.000501476402860135
ENTORHINAL AREA left,196.124404862418,0.313232123851776,0.000978576019406319,0.00067696999758482,0.000530420104041696
SUPERIOR TEMPORAL left,7268.67217405485,0.373333722352982,0.00108357495628297,0.000744029704947025,0.000489448430016637
INFERIOR TEMPORAL left,3068.59261146276,0.374955505132675,0.00117782084271312,0.000771533465012908,0.000540337176062167
MIDDLE TEMPORAL left,7973.21138229138,0.378780961036682,0.00114451779518276,0.000770299404393882,0.000513073522597551
LATERAL FRONTO-ORBITAL left,1986.89108618311,0.359882652759552,0.00112525536678731,0.000735643727239221,0.000536508858203888
MIDDLE FRONTO-ORBITAL left,1072.64962967061,0.342857897281647,0.00118925713468343,0.000838246720377356,0.000597141217440367
SUPRAMARGINAL left,4299.65041429147,0.382076561450958,0.0010746312327683,0.00068496580934152,0.000490629347041249
RECTUSleft,1090.75342088868,0.329776078462601,0.00106742314528674,0.000779468507971615,0.000539408647455275
INSULA left,8329.25260958008,0.161846056580544,0.00114268891047686,0.00097228167578578,0.000848854018840939
AMYGDALA left,2017.06407154656,0.191785112023354,0.0010343057801947,0.000847655406687409,0.000713496992830187
HIPPOCAMPUS left,4353.96178794568,0.206133499741554,0.00123722455464303,0.00099566753488034,0.000836514518596232
CEREBELLUM left,48738.4232575791,0.184854865074158,0.00109760463237762,0.000906516797840595,0.000785833050031215
CorticospinalTract left,982.130673580263,0.515644371509552,0.00131452758796513,0.000681588484439999,0.000431314809247851
InferiorCerebellarPeduncle left,310.781749243524,0.563590466976166,0.00138446083292365,0.000664025312289596,0.000482357165310532
MedialLemniscus left,650.227834582325,0.494464486837387,0.00139419210609049,0.000717866932973266,0.000526716583408415
SuperiorCerebellarPeduncle left,635.1413419006,0.567085802555084,0.00186120485886931,0.000858749612234533,0.000642162747681141
CerebralPeduncle left,1259.72213892399,0.674548268318176,0.00169968942645937,0.000576263119000942,0.000400130811613053
AnteriorLimbInternalCapsule left,2312.75932810836,0.542917609214783,0.00132947193924338,0.000621544546447694,0.000402798264985904
PosteriorLimbInternalCapsule left,3656.96582605001,0.617221891880035,0.00135569216217846,0.000555018661543727,0.000325292669003829
PosteriorThalamicRadiation left,11506.4679683513,0.479042112827301,0.00124868389684707,0.000692419183906168,0.000450898020062596
AnteriorCoronaRadiata left,10845.6795888917,0.420134752988815,0.00123390241060406,0.000754065229557455,0.000508171913679689
SuperiorCoronaRadiata left,11824.7929639356,0.463948577642441,0.00115547480527312,0.000665122992359102,0.000418028153944761
PosteriorCoronaRadiata left,5640.83961369678,0.471760451793671,0.001113849459216,0.000659565906971693,0.000395308656152338
Cingulum left,3762.57127482208,0.472149759531021,0.00122597243171185,0.000677143223583698,0.00044078822247684
CingulumHippocampal left,1928.05376472439,0.435764908790588,0.00121127057354897,0.000693424954079092,0.000493693456519395
FornixStriaTerminalis left,1215.97131014699,0.494320690631866,0.00140638102311641,0.000737659633159637,0.000491149141453207
SuperiorLongitudinalFasciculus left,8822.58092027247,0.440832078456879,0.00111564388498664,0.000715784844942391,0.000416874303482473
SuperiorFronto-occipitalFasciculus left,128.235187794658,0.330801218748093,0.00101265381090343,0.000659695244394243,0.000542729976586998
InferiorFronto-occipitalFasciculus left,2181.50684177736,0.439204037189484,0.00126743968576193,0.000720942975021899,0.000510794983711094
SagittalStratum left,7107.2467023604,0.479289501905441,0.00129151088185608,0.000735630805138499,0.000442921678768471
ExternalCapsule left,2962.98716269069,0.370683342218399,0.00109787588007748,0.00077071733539924,0.000493591302074492
UncinateFasciculus left,1101.31396576589,0.358821421861649,0.00123376527335495,0.000794811639934778,0.000598663580603898
PontineCrossingTract left,1050.01989064802,0.436701327562332,0.00128560920711607,0.000763549818657339,0.000527520256582648
MiddleCerebellarPeduncle left,5053.9750483777,0.508717834949493,0.00127565744332969,0.000649020774289966,0.000427552644396201
Fornix  left,217.245494616832,0.411068856716156,0.00261979969218373,0.00146412861067802,0.00124913523904979
GenuCorpusCallosum left,2430.43397102581,0.614277780056,0.00171088427305222,0.000665579456835985,0.000480631133541465
BodyCorpusCallosum left,5066.04424252308,0.533257901668549,0.00158748822286725,0.000699978496413678,0.00052723492262885
SpleniumCorpusCallosum left,5094.70857861835,0.594901323318481,0.00156341749243438,0.000631748698651791,0.000455426867119968
RetrolenticularInternalCapsule left,2012.53812374204,0.54607230424881,0.00133673194795847,0.00066751177655533,0.000387834181310609
Red Nucleus left,42.2421795088285,0.339934706687927,0.00101144355721772,0.000726380210835487,0.000493102474138141
Substancia Nigra left,190.089807789728,0.55377608537674,0.0012419056147337,0.000626246444880962,0.00035253883106634
TapatumLeft,662.297028727704,0.522224247455597,0.00142655125819147,0.000729719817172736,0.000562644097954035
CAUDATE NUCLEUS left,4396.20396745451,0.215779513120651,0.000977402203716338,0.000788022938650101,0.000643364153802395
PUTAMEN left,3423.12518948328,0.19059793651104,0.000896269455552101,0.00074548355769366,0.000612500356510282
THALAMUS left,8439.38400615667,0.341449826955795,0.00113589584361762,0.000806335243396461,0.000562730361707509
GLOBUS PALLIDUS left,1152.60804088375,0.306496918201447,0.00101086776703596,0.000785409763921052,0.000529057055246085
MIDBRAIN left,2620.52377881554,0.424787402153015,0.00123597052879632,0.000762629671953619,0.000523963826708496
Reticular formation left,146.338979012727,0.264975517988205,0.00107207137625664,0.000817793828900903,0.000629694841336459
MEDULLA left,1407.56976720489,0.451713263988495,0.00151680177077651,0.000826509145554155,0.000681940407957882
SUPERIOR PARIETAL  right,7805.75131352424,0.450563758611679,0.00104380026459694,0.000631351722404361,0.000394972070353106
CINGULATE  right,3673.56096799991,0.328540325164795,0.000988663989119232,0.000694658607244492,0.000506274460349232
SUPERIOR FRONTAL  right,11447.6306468925,0.381720036268234,0.00108695507515222,0.000721790187526494,0.000486482837004587
MIDDLE FRONTAL  right,13144.8610735865,0.402940809726715,0.00110447721090168,0.000704290287103504,0.000470671220682561
INFERIOR FRONTAL  right,7911.35676229631,0.41564530134201,0.00113010872155428,0.000715915346518159,0.000460740207927302
PRECENTRAL  right,14114.9225530214,0.417640656232834,0.0011701249750331,0.000739978160709143,0.000474236760055646
POSTCENTRAL  right,4016.02435187505,0.37749969959259,0.000973412184976041,0.00066696316935122,0.000451505387900397
ANGULAR  right,3036.91097683114,0.385394364595413,0.00101844931486994,0.000654283154290169,0.000455762725323439
PRE-CUNEUS right,1436.23410330017,0.35575008392334,0.000797328655607998,0.000557958381250501,0.000396774645196274
CUNEUS right,1783.22343497983,0.363331139087677,0.0010038313921541,0.000672442547511309,0.000472233165055513
LINGUAL  right,2765.3541085601,0.367366284132004,0.00106002925895154,0.000694098824169487,0.000495988351758569
FUSIFORM  right,4761.29709035224,0.341188162565231,0.00105408765375614,0.000744880933780223,0.000517996202688664
PARAHIPPOCAMPAL  right,58.8373214587254,0.306533962488174,0.000879563507623971,0.000647471577394754,0.000473598600365222
SUPERIOR OCCIPITAL  right,2523.9702256525,0.408622086048126,0.00106730021070689,0.000667227432131767,0.000453332002507523
INFERIOR OCCIPITAL  right,2798.54439245989,0.36407271027565,0.00109774922020733,0.000743938435334712,0.000511111924424767
MIDDLE OCCIPITAL  right,4578.75052890338,0.365239411592484,0.0010758857242763,0.000715153641067445,0.000501658476423472
ENTORHINAL AREA right,75.4324634086224,0.29996520280838,0.00109718204475939,0.000757860136218369,0.000612164207268506
SUPERIOR TEMPORAL  right,7074.05641846061,0.374651670455933,0.00112895772326738,0.00074273650534451,0.000515882857143879
INFERIOR TEMPORAL  right,3708.25990116788,0.355965375900269,0.00115783966612071,0.000803064729552716,0.000551057164557278
MIDDLE TEMPORAL  right,10488.1297123349,0.382473081350327,0.00116978446021676,0.000784041010774672,0.000518960005138069
LATERAL FRONTO-ORBITAL  right,1597.65957499462,0.352566987276077,0.00109112518839538,0.000721719523426145,0.000535482482519001
MIDDLE FRONTO-ORBITAL  right,1084.71882381599,0.34849414229393,0.00113122072070837,0.000779887835960835,0.00056074233725667
SUPRAMARGINAL  right,6144.72846926638,0.389699220657349,0.00114730617497116,0.000758950947783887,0.000504713563714176
RECTUS right,859.930082858295,0.335788875818253,0.00103529868647456,0.000751968182157725,0.000509677978698164
INSULA right,7513.07335549879,0.189120382070541,0.00115967576857656,0.000957395066507161,0.000811415840871632
AMYGDALA right,2119.65222178229,0.180194064974785,0.00107250025030226,0.00092301785480231,0.000761270348448306
HIPPOCAMPUS right,3890.80646261674,0.190153539180756,0.00122314551845193,0.0010010072728619,0.000853297067806125
CEREBELLUM right,49608.9138853146,0.198378622531891,0.00108597613871098,0.000878185092005879,0.000757143541704863
CorticospinalTract right,905.189560903468,0.485525101423264,0.00129349692724645,0.000723475415725261,0.000447888800408691
InferiorCerebellarPeduncle right,642.684588241463,0.492907255887985,0.00137327052652836,0.000731810054276139,0.000539994798600674
MedialLemniscus right,787.514917986018,0.502992391586304,0.00145543704275042,0.000726765778381377,0.000558328407350928
SuperiorCerebellarPeduncle right,559.708878491978,0.553056418895721,0.00190778635442257,0.000905496766790748,0.000679784454405308
CerebralPeduncle right,1404.55246866855,0.681217730045319,0.00159335869830102,0.000546992640011013,0.000345797481713817
AnteriorLimbInternalCapsule right,2439.48586663485,0.545590400695801,0.00133911671582609,0.000641494989395142,0.00039183784974739
PosteriorLimbInternalCapsule right,3720.32909531326,0.596145033836365,0.00130606419406831,0.000556335609871894,0.000339643011102453
PosteriorThalamicRadiation right,10044.5868274922,0.471777558326721,0.00128034537192434,0.000724974612239748,0.000465547142084688
AnteriorCoronaRadiata right,9421.51467973693,0.423043698072433,0.00123167783021927,0.00075544323772192,0.000505297910422087
SuperiorCoronaRadiata right,16739.9722796415,0.458797127008438,0.00120277714449912,0.00070548290386796,0.000440755480667576
PosteriorCoronaRadiata right,6702.92869849018,0.477469742298126,0.00120616354979575,0.000707857427187264,0.000422480225097388
Cingulum right,4832.20360595635,0.418192923069,0.00117113231681287,0.000715978385414928,0.00048373980098404
CingulumHippocampal right,1917.49321984718,0.413817822933197,0.00114178797230124,0.000692733854521066,0.000479956535855308
FornixStriaTerminalis right,724.151648722775,0.532492637634277,0.00144194660242647,0.000701409881003201,0.000478165660751984
SuperiorLongitudinalFasciculus right,7306.38840575916,0.404170244932175,0.00113566708751023,0.000765061296988279,0.00047113181790337
SuperiorFronto-occipitalFasciculus right,173.494665839831,0.337229251861572,0.00102914264425635,0.000713957648258656,0.000510197831317782
InferiorFronto-occipitalFasciculus right,2205.64523006812,0.425406068563461,0.00124963920097798,0.00072396598989144,0.000527152675203979
SagittalStratum right,6039.12302049431,0.447155386209488,0.00125503202434629,0.000790048972703516,0.00047109994920902
ExternalCapsule right,3048.98017097652,0.380136907100677,0.00114486285019666,0.000783446303103119,0.000502334733027965
UncinateFasciculus right,1484.51087988169,0.330424845218658,0.0011904725106433,0.000815395673271269,0.000608322501648217
PontineCrossingTract right,1084.71882381599,0.394262701272964,0.00125188333913684,0.000813529419247061,0.000564095622394234
MiddleCerebellarPeduncle right,4794.48737425204,0.48128741979599,0.00124831777065992,0.000665311235934496,0.000439277704572305
Fornix right,209.70224827597,0.507879734039307,0.00201087049208581,0.00103282264899462,0.000839197949972004
GenuCorpusCallosum right,2967.5131104952,0.596294701099396,0.00177676533348858,0.000708741077687591,0.000536657811608166
BodyCorpusCallosum right,3850.07293237609,0.532129108905792,0.00159973243717104,0.000706776278093457,0.000550813158042729
SpleniumCorpusCallosum right,4958.93014448283,0.632379293441772,0.00161040911916643,0.000586553651373833,0.000419357093051076
RetrolenticularInternalCapsule right,2256.93930518598,0.520848155021667,0.00128327694255859,0.000684550614096224,0.000400940160034224
Red Nucleus  right,61.8546199950703,0.437580049037933,0.00100652850233018,0.000577185128349811,0.000396599440136924
Substancia Nigra  right,271.556868271041,0.427135646343231,0.001095678540878,0.000728309678379446,0.000431104126619175
Tapatum right,709.06515604105,0.446351617574692,0.00184818566776812,0.00105805252678692,0.0008913220372051
CAUDATE NUCLEUS right,4212.14875673747,0.192523181438446,0.00110940798185766,0.000919435173273087,0.000787760363891721
PUTAMEN right,3472.91061533297,0.183630391955376,0.000931488117203116,0.000782435061410069,0.000645616499241441
THALAMUS right,9044.35236269382,0.321144074201584,0.00116997084114701,0.000831707031466067,0.000625077984295785
GLOBUS PALLIDUS right,1069.63233113427,0.332296878099442,0.00101029244251549,0.000727845937944949,0.000505168223753572
MIDBRAIN right,2852.8557661141,0.404901266098022,0.00124469795264304,0.000795201456639916,0.000563697307370603
Reticular formation right,396.774757529354,0.250308811664581,0.00110971124377102,0.000861957378219813,0.000666817708406597
MEDULLA right,1760.59369595725,0.40054377913475,0.00157160044182092,0.000933842733502388,0.000774018990341574
Nucleus accumbens left,211.210897544143,0.319542020559311,0.00113136298023164,0.000817928288597614,0.000611598778050393
Nucleus accumbens right,654.753782386842,0.3105548620224,0.00163323001470417,0.00122432375792414,0.00094068207545206
Hypothalamus A left,834.283045299363,0.339370310306549,0.00128301326185465,0.000850961601827294,0.000658188015222549
Hypothalamus A right,1083.21017454782,0.376610279083252,0.00122965453192592,0.000819498207420111,0.000567406299524009
OpticTractLeft,257.979024857488,0.47449192404747,0.00189516611862928,0.000940986094065011,0.000727627077139914
OpticTractRigh,292.677958025455,0.436782479286194,0.00190201983787119,0.0010460838675499,0.000832336081657559
Hypothalamus B left,663.805677995877,0.443009465932846,0.00125833740457892,0.000750688777770847,0.000486986100440845
Hypothalamus B right,303.238502902662,0.450998991727829,0.00130476127378643,0.000789696932770312,0.000506827025674284
Mammillary body right,6.03459707268979,0.16268964111805,0.00163365062326193,0.00135103613138199,0.00117006851360202
Mammillary body left,30.1729853634489,0.240156143903732,0.00111435202416033,0.000803918810561299,0.000707822386175394
Hypothalamus C left,1286.8778257511,0.232161059975624,0.0010498515330255,0.000862851738929749,0.000652210670523345
Hypothalamus C right,1419.63896135027,0.240896329283714,0.00111041031777859,0.000900635553989559,0.000683512247633189
Hypothalamus D left,334.920137534283,0.308927714824677,0.00110482587479055,0.000844321097247303,0.000576954509597272
Hypothalamus D right,632.124043364255,0.331093281507492,0.00123230263125151,0.000897725927643478,0.00061057519633323
Hypothalamus E left,NaN,NaN,NaN,NaN,NaN
Hypothalamus E right,NaN,NaN,NaN,NaN,NaN
Hypothalamus F left,425.43909362463,0.308198243379593,0.00114776671398431,0.0008398323552683,0.000649159657768905
Hypothalamus F right,354.532578020525,0.298632144927979,0.00135852920357138,0.00101569015532732,0.000810330093372613
LVL_frontalLeft,5200.31402739043,0.11909331381321,0.0028513555880636,0.00250348495319486,0.00229032360948622
LVL_frontal right,5094.70857861835,0.123997017741203,0.0031063687056303,0.00267935870215297,0.002466433448717
LVL_bodyLeft,4761.29709035224,0.118443235754967,0.00299039296805859,0.00260972254909575,0.00241793715395033
LVL_body right,4177.44982356951,0.112147137522697,0.00294727156870067,0.00259525398723781,0.00241982936859131
LVL_atriumLeft,2118.14357251412,0.113445706665516,0.00292018405161798,0.00256608566269279,0.00239226315170527
LVL_atrium right,1737.96395693466,0.102278254926205,0.00296571408398449,0.00265394221059978,0.00248094671405852
LVL_occipital left,282.117413148248,0.201107949018478,0.00289073237217963,0.00219770008698106,0.00203549931757152
LVL_occipital right,3.01729853634489,0.163011953234673,0.00262336060404778,0.00211809319444001,0.00191462493967265
LVL_temporal left,633.632692632428,0.258851140737534,0.00213435315527022,0.00158368330448866,0.00137934659142047
LVL_temporal right,1149.5907423474,0.157866984605789,0.00245486665517092,0.00206749094650149,0.00186428613960743
III and IV ventricle,6107.01223756207,0.17974029481411,0.00353025132790208,0.00288055557757616,0.00248910905793309
SLF-t left,2804.57898953258,0.492899507284164,0.00117840792518109,0.000645517895463854,0.000395129492972046
SLF-t right,1715.33421791207,0.496992468833923,0.00128163490444422,0.000665065832436085,0.000443054857896641
ICP-cerebellum left,244.401181443936,0.509887337684631,0.00131148169748485,0.000668297172524035,0.000437827431596816
ICP-cerebellum right,343.972033143318,0.488098949193954,0.00131201779004186,0.000669067958369851,0.000476158544188365
CerebellumBranch-A left,2299.18148469481,0.348315805196762,0.00106261181645095,0.00071448425296694,0.000519276887644082
CerebellumBranch-A right,2164.91169982746,0.326347172260284,0.00104708189610392,0.000757984700612724,0.00053087278502062
CerebellumBranch-B left,435.999638501837,0.37302029132843,0.00104619946796447,0.000634872121736407,0.0004996148054488
CerebellumBranch-B right,405.826653138388,0.384381234645844,0.00104557769373059,0.000634419615380466,0.000487601413624361
CSF,262853.470642954,0.111949130892754,0.00281748455017805,0.00252226903103292,0.00227386294864118
Unused,7.54324634086224,0.35384663939476,0.00207736738957465,0.00132439285516739,0.00103348749689758
