Row,volume,FA,E1,E2,E3
SUPERIOR PARIETAL left,9014.17937733037,0.447403877973557,0.0010915951570496,0.000668606371618807,0.000407545507187024
CINGULATE  left,6218.65228340683,0.343802690505981,0.00102309125941247,0.000718951399903744,0.000499832385685295
SUPERIOR FRONTAL  left,13230.8540818724,0.378930747509003,0.00114983599632978,0.000783300900366157,0.000512390281073749
MIDDLE FRONTAL  left,10264.8496206453,0.37991264462471,0.0011008009314537,0.000736131041776389,0.000490752514451742
INFERIOR FRONTAL  left,9946.52462506095,0.422699391841888,0.00113985151983798,0.000730201252736151,0.000452579231932759
PRECENTRAL  left,13796.597557437,0.427935808897018,0.00112798379268497,0.000705599610228091,0.000441754935309291
POSTCENTRAL  left,7365.22572721789,0.417396694421768,0.000971109897363931,0.000631783274002373,0.000405049591790885
ANGULAR  left,2492.28859102088,0.408327788114548,0.00106216839049011,0.000657664088066667,0.000443032738985494
PRE-CUNEUS left,2110.60032617325,0.356275051832199,0.000939855934120715,0.000647346780169755,0.000450651656137779
CUNEUS left,2056.28895251905,0.365107446908951,0.000985675025731325,0.000689548964146525,0.00045445081195794
LINGUAL  left,3709.76855043605,0.372081369161606,0.00104445696342736,0.00069355993764475,0.000480500777484849
FUSIFORM  left,5993.86354244913,0.367255330085754,0.000971206871327013,0.000681064324453473,0.000450010091299191
PARAHIPPOCAMPAL  left,365.093122897732,0.347976177930832,0.000828733202069998,0.00059353542746976,0.000411748216720298
SUPERIOR OCCIPITAL  left,1253.6875418513,0.425725936889648,0.00108761060982943,0.000684891536366194,0.000431432534242049
INFERIOR OCCIPITAL left,1722.87746425293,0.394896507263184,0.00108567567076534,0.000692848872859031,0.000470333819976076
MIDDLE OCCIPITAL left,4842.76415083356,0.367531388998032,0.00106167979538441,0.000708735606167465,0.000493713188916445
ENTORHINAL AREA left,224.788740957695,0.293152064085007,0.00107314588967711,0.000781169161200523,0.000590412877500057
SUPERIOR TEMPORAL left,8772.79549442278,0.376402199268341,0.00112230773083866,0.000772321771364659,0.000501380418427289
INFERIOR TEMPORAL left,3551.36037727794,0.401377767324448,0.00116398558020592,0.000766240584198385,0.000493380066473037
MIDDLE TEMPORAL left,8166.31848861746,0.372970044612885,0.00115405302494764,0.000782563700340688,0.000523281225468963
LATERAL FRONTO-ORBITAL left,2588.84214418392,0.370673954486847,0.00117586832493544,0.000770995917264372,0.000546516617760062
MIDDLE FRONTO-ORBITAL left,1104.33126430223,0.343599528074265,0.00119562272448093,0.000858070561662316,0.000587607268244028
SUPRAMARGINAL left,4717.54626157524,0.384503334760666,0.00109919684473425,0.000715462607331574,0.000488383346237242
RECTUSleft,1137.52154820203,0.331532686948776,0.00112791534047574,0.000843733840156347,0.00055664440151304
INSULA left,8769.77819588644,0.170167520642281,0.00115230237133801,0.000974294729530811,0.000845905742608011
AMYGDALA left,2293.14688762212,0.213770672678947,0.00106069294270128,0.000854817975778133,0.000698172952979803
HIPPOCAMPUS left,4536.50834939455,0.227724388241768,0.0011729832040146,0.000924242311157286,0.000763782882131636
CEREBELLUM left,46881.2760084588,0.236044406890869,0.00106769613921642,0.000844058755319566,0.000705695827491581
CorticospinalTract left,1326.10270672358,0.603818655014038,0.00123410299420357,0.000585369067266583,0.00028504928923212
InferiorCerebellarPeduncle left,470.698571669804,0.653818190097809,0.00132646318525076,0.000563959882128984,0.000303633307339624
MedialLemniscus left,1222.00590721968,0.572232484817505,0.00143952888902277,0.00068750703940168,0.000436562550021335
SuperiorCerebellarPeduncle left,805.618709204087,0.543475329875946,0.00182713428512216,0.000926409498788416,0.000655790907330811
CerebralPeduncle left,1531.27900719503,0.695246934890747,0.00165708712302148,0.000557367282453924,0.000347736524417996
AnteriorLimbInternalCapsule left,2622.03242808371,0.596579909324646,0.00130498525686562,0.00059422804042697,0.00031983875669539
PosteriorLimbInternalCapsule left,3243.59592657076,0.627004027366638,0.00134139484725893,0.000570019823499024,0.000299792009172961
PosteriorThalamicRadiation left,12002.81357758,0.506205856800079,0.00131397170480341,0.00067447469336912,0.000439072784502059
AnteriorCoronaRadiata left,12462.9516043726,0.409438163042068,0.00121974979992956,0.000773395935539156,0.00051091454224661
SuperiorCoronaRadiata left,11518.5371624966,0.464296072721481,0.00115993083454669,0.000690372078679502,0.000413400586694479
PosteriorCoronaRadiata left,7274.70677112754,0.428265810012817,0.00112274615094066,0.000691527267917991,0.000447129103122279
Cingulum left,3801.79615579457,0.521639108657837,0.00129388540517539,0.000651488429866731,0.000405155034968629
CingulumHippocampal left,1997.45163106032,0.520003020763397,0.00104578456375748,0.000565007561817765,0.000346736022038385
FornixStriaTerminalis left,1381.92272964596,0.558554470539093,0.00140292418655008,0.000645134889055043,0.00041838371544145
SuperiorLongitudinalFasciculus left,7965.66813595052,0.43439307808876,0.00110487337224185,0.000724932586308569,0.000417997624026611
SuperiorFronto-occipitalFasciculus left,110.131396576589,0.389601796865463,0.00105875241570175,0.000679055578075349,0.000465196295408532
InferiorFronto-occipitalFasciculus left,1994.43433252398,0.45999202132225,0.00126040761824697,0.000694033748004586,0.000484213029267266
SagittalStratum left,7256.60297990947,0.494507938623428,0.00130949285812676,0.00072187912883237,0.000444277917267755
ExternalCapsule left,2726.12922758761,0.397999376058578,0.00111291487701237,0.000745160563383251,0.000469634629553184
UncinateFasciculus left,992.69121845747,0.417893320322037,0.00128570978995413,0.00073578319279477,0.000548764655832201
PontineCrossingTract left,1528.26170865869,0.53699654340744,0.00122752226889133,0.000630090537015349,0.000375542294932529
MiddleCerebellarPeduncle left,5925.97432538137,0.521242797374725,0.0011709569953382,0.000601948006078601,0.000365474814316258
Fornix  left,372.636369238594,0.437285751104355,0.00218431977555156,0.00118536967784166,0.00100915227085352
GenuCorpusCallosum left,2545.09131540692,0.666377365589142,0.00169459078460932,0.000594981363974512,0.000382871396141127
BodyCorpusCallosum left,5773.60074929596,0.57004588842392,0.00150085322093219,0.000653626455459744,0.000439948780694976
SpleniumCorpusCallosum left,6227.70417901586,0.635588049888611,0.00154141127131879,0.000602647080086172,0.00037700729444623
