Row,volume,FA,E1,E2,E3
SUPERIOR PARIETAL left,7455.74468330823,0.436640739440918,0.00100208283402026,0.00062808720394969,0.000389718537917361
CINGULATE  left,5091.69128008201,0.336754441261292,0.000987806473858654,0.000678831653203815,0.000498017354402691
SUPERIOR FRONTAL  left,13529.5666369705,0.399813175201416,0.00109759112820029,0.000718012393917888,0.000465546792838722
MIDDLE FRONTAL  left,9928.42083384288,0.392960131168365,0.00106718740426004,0.000686613901052624,0.000467250443762168
INFERIOR FRONTAL  left,10079.2857606601,0.421952486038208,0.00112829741556197,0.000708248291630298,0.000452922511612996
PRECENTRAL  left,12938.1761238469,0.43780842423439,0.00110047752968967,0.00067062140442431,0.000423577730543911
POSTCENTRAL  left,6295.59339608362,0.439386427402496,0.000950606423430145,0.000585673726163805,0.000385265069780871
ANGULAR  left,2804.57898953258,0.422344446182251,0.00102594762574881,0.000612043542787433,0.000419479823904112
PRE-CUNEUS left,1743.99855400735,0.374882787466049,0.000806944502983242,0.000532352598384023,0.000383733393391594
CUNEUS left,2299.18148469481,0.371378272771835,0.000971622299402952,0.00061700475635007,0.000458498077932745
LINGUAL  left,3516.66144410997,0.365458846092224,0.00106689042877406,0.00070055533433333,0.000502072158269584
FUSIFORM  left,5488.46603761136,0.343807697296143,0.00104897643905133,0.000728628016076982,0.000516947766300291
PARAHIPPOCAMPAL  left,181.037912180694,0.367200613021851,0.000996562303043902,0.000654383678920567,0.000491342856548727
SUPERIOR OCCIPITAL  left,1802.83587546607,0.457719147205353,0.00108943914528936,0.000618242716882378,0.000407448067562655
INFERIOR OCCIPITAL left,1556.92604475397,0.369126588106155,0.00105793599504977,0.000689069041982293,0.000493490602821112
MIDDLE OCCIPITAL left,4236.28714502823,0.359070390462875,0.00103483512066305,0.000675415620207787,0.000496649590786546
ENTORHINAL AREA left,259.487674125661,0.311810970306396,0.00103755143936723,0.000727247446775436,0.000556233455426991
SUPERIOR TEMPORAL left,7083.10831406964,0.371917575597763,0.0010913300793618,0.000742541335057467,0.000495709769893438
INFERIOR TEMPORAL left,2940.3574236681,0.377278864383698,0.00117627473082393,0.000768072612117976,0.000534241495188326
MIDDLE TEMPORAL left,8080.32548033163,0.376753717660904,0.0011345436796546,0.000763138814363629,0.000513774168211967
LATERAL FRONTO-ORBITAL left,1976.33054130591,0.366030901670456,0.00112237536814064,0.000733235327061266,0.000525854004081339
MIDDLE FRONTO-ORBITAL left,994.199867725643,0.346030950546265,0.00110232224687934,0.000774867192376405,0.000547001312952489
SUPRAMARGINAL left,4313.22825770503,0.389512270689011,0.00106638192664832,0.000675418239552528,0.000479900889331475
RECTUSleft,1077.17557747513,0.339305341243744,0.00108578032813966,0.0007842225022614,0.000534345570486039
INSULA left,8330.76125884825,0.162465170025826,0.00113176344893873,0.000962654245086014,0.00083917414303869
AMYGDALA left,2116.63492324594,0.185746848583221,0.00102297647390515,0.000851970165967941,0.000714942172635347
HIPPOCAMPUS left,4188.01036844671,0.204577773809433,0.0012314774794504,0.000997293158434331,0.000836313236504793
CEREBELLUM left,48471.3923371126,0.181975111365318,0.00108984671533108,0.000900044629815966,0.000785571872256696
CorticospinalTract left,932.345247730572,0.51353794336319,0.00132408353965729,0.000693819543812424,0.00043772195931524
InferiorCerebellarPeduncle left,336.428786802456,0.577628970146179,0.00139981508255005,0.000671360117848963,0.00046287607983686
MedialLemniscus left,641.17593897329,0.517422795295715,0.0014082855777815,0.000700809061527252,0.000505033473018557
SuperiorCerebellarPeduncle left,740.746790672672,0.56988650560379,0.00181806716136634,0.000849679461680353,0.000608641479630023
CerebralPeduncle left,1238.60104916958,0.683643996715546,0.00174776907078922,0.00057884817942977,0.000401325814891607
AnteriorLimbInternalCapsule left,2358.01880615354,0.536296784877777,0.00131197564769536,0.000621765153482556,0.000406903767725453
PosteriorLimbInternalCapsule left,3515.1527948418,0.62693202495575,0.00136362505145371,0.00054141494911164,0.000319398037390783
PosteriorThalamicRadiation left,11776.5161873541,0.475631833076477,0.00124089408200234,0.000692348054144531,0.000448886072263122
AnteriorCoronaRadiata left,11201.7208161804,0.421480149030685,0.00122412829659879,0.000748690217733383,0.000502802547998726
SuperiorCoronaRadiata left,11922.8551663669,0.469551533460617,0.00116104003973305,0.000669800618197769,0.000411532295402139
PosteriorCoronaRadiata left,5827.91212295016,0.469265967607498,0.00112402462400496,0.000667007814627141,0.000403074809582904
Cingulum left,3952.66108261181,0.467345893383026,0.00123410031665117,0.000684837403241545,0.000450892490334809
CingulumHippocampal left,2004.99487740118,0.440123558044434,0.00122284737881273,0.000694854359608144,0.000490905542392284
FornixStriaTerminalis left,1152.60804088375,0.509572982788086,0.00142663542646915,0.000714094203431159,0.0004806607903447
SuperiorLongitudinalFasciculus left,8701.88897881868,0.434032171964645,0.00113087671343237,0.000727023871149868,0.000431125023169443
SuperiorFronto-occipitalFasciculus left,132.761135599175,0.277353405952454,0.00103333906736225,0.000739472627174109,0.000605447858106345
InferiorFronto-occipitalFasciculus left,2039.69381056915,0.445576459169388,0.00127732288092375,0.000724434037692845,0.000502810464240611
SagittalStratum left,7169.10132235547,0.481035143136978,0.00131367507856339,0.000745683035347611,0.000446225400082767
ExternalCapsule left,2929.79687879089,0.383847266435623,0.00110217661131173,0.000756304594688118,0.000479460228234529
UncinateFasciculus left,1040.96799503899,0.359201639890671,0.00123401579912752,0.000809354416560382,0.00058986886870116
PontineCrossingTract left,991.182569189298,0.445529013872147,0.00126918870955706,0.000750808452721685,0.000505870382767171
MiddleCerebellarPeduncle left,5298.37622982164,0.505766570568085,0.00127750367391855,0.000644632615149021,0.000428035506047308
Fornix  left,165.951419498969,0.398377269506454,0.00250523816794157,0.00144882162567228,0.00123257050290704
GenuCorpusCallosum left,2305.2160817675,0.620407521724701,0.00166749861091375,0.000633970252238214,0.000462552066892385
BodyCorpusCallosum left,4755.26249327955,0.539200246334076,0.0015966696664691,0.000696070201229304,0.000522381626069546
SpleniumCorpusCallosum left,5215.40052007215,0.5945685505867,0.00157523830421269,0.000634149240795523,0.00045841938117519
RetrolenticularInternalCapsule left,2101.54843056422,0.556347608566284,0.00134402851108462,0.000674927141517401,0.000371709436876699
Red Nucleus left,21.1210897544143,0.313432365655899,0.00105696730315685,0.000744913937523961,0.000563104287721217
Substancia Nigra left,178.020613644349,0.515623867511749,0.00129713909700513,0.000713247223757207,0.000406007224228233
TapatumLeft,675.874872141256,0.529667735099792,0.00146395887713879,0.000738908536732197,0.000572331598959863
CAUDATE NUCLEUS left,4323.78880258223,0.208761692047119,0.000958785531111062,0.000779266585595906,0.000642144994344562
PUTAMEN left,3669.03502019539,0.182943344116211,0.000876265461556613,0.000735145586077124,0.000608274014666677
THALAMUS left,8552.5327012696,0.33485546708107,0.0011447761207819,0.000813922844827175,0.000577853294089437
GLOBUS PALLIDUS left,1123.94370478847,0.297930747270584,0.00103643990587443,0.000817087362520397,0.000558001163881272
MIDBRAIN left,2416.85612761226,0.420678049325943,0.00121408456470817,0.000764928758144379,0.000510487880092114
Reticular formation left,179.529262912521,0.282003164291382,0.00105487613473088,0.000814427272416651,0.000605587789323181
MEDULLA left,1366.83623696424,0.454694181680679,0.0014948972966522,0.000808611104730517,0.000660351768601686
SUPERIOR PARIETAL  right,7632.25664768441,0.453802496194839,0.00103958428371698,0.000616476638242602,0.0003935354470741
CINGULATE  right,3555.88632508246,0.331241250038147,0.00097446033032611,0.000676080700941384,0.000497719098348171
