Row,volume,FA,E1,E2,E3
SUPERIOR PARIETAL left,10237.6939338182,0.453794300556183,0.00100416096393019,0.00061668356647715,0.000379828095901757
CINGULATE  left,5352.68760347584,0.352973520755768,0.00097153871320188,0.000665016821585596,0.000471046485472471
SUPERIOR FRONTAL  left,13663.8364218379,0.388139188289642,0.00100435200147331,0.000686556159052998,0.000438465154729784
MIDDLE FRONTAL  left,11090.0807703357,0.388442754745483,0.00103629543446004,0.000680902448948473,0.000457454763818532
INFERIOR FRONTAL  left,9608.58718899032,0.413309454917908,0.0010777513962239,0.000698207761161029,0.000445678277174011
PRECENTRAL  left,13635.1720857426,0.438185691833496,0.00103404873516411,0.000654556439258158,0.000397884345147759
POSTCENTRAL  left,7259.62027844582,0.456181049346924,0.000894639466423541,0.000554382684640586,0.000348312576534227
ANGULAR  left,2195.08468519091,0.406481921672821,0.000975729373749346,0.000619194412138313,0.000416314433095977
PRE-CUNEUS left,1879.77698814287,0.376629799604416,0.000820699264295399,0.000547784089576453,0.000381578225642443
CUNEUS left,2481.72804614368,0.39468377828598,0.000958918419200927,0.000599229359067976,0.000425426551373675
LINGUAL  left,3904.38430603029,0.377802342176437,0.00108266074676067,0.000719578645657748,0.000488633813802153
FUSIFORM  left,4633.06190255759,0.394519805908203,0.00105898408219218,0.000697069044690579,0.000459478585980833
PARAHIPPOCAMPAL  left,176.511964376176,0.386250615119934,0.00126255140639842,0.000828491756692529,0.000604139757342637
SUPERIOR OCCIPITAL  left,1704.77367303487,0.420120358467102,0.00102552399039268,0.000683960388414562,0.00040944229112938
INFERIOR OCCIPITAL left,1525.24441012234,0.370461612939835,0.00102068379055709,0.000679552962537855,0.000467633071821183
MIDDLE OCCIPITAL left,5577.47634443354,0.393594115972519,0.00102064153179526,0.000647368025965989,0.000446713995188475
ENTORHINAL AREA left,356.041227288698,0.299153417348862,0.00103617401327938,0.000775607826653868,0.000564226938877255
SUPERIOR TEMPORAL left,6921.68284237519,0.370473086833954,0.00107581715565175,0.00074198393849656,0.000493639032356441
INFERIOR TEMPORAL left,2469.6588519983,0.382675796747208,0.00114253943320364,0.000765952689107507,0.000509028322994709
