Row,volume,FA,E1,E2,E3
SUPERIOR PARIETAL left,7618.67880427086,0.453480362892151,0.00106660695746541,0.000639021978713572,0.000401111377868801
CINGULATE  left,4977.0339357009,0.341269612312317,0.000987852807156742,0.000687680090777576,0.00049164640950039
SUPERIOR FRONTAL  left,12010.3568239209,0.38133716583252,0.00108730979263783,0.000734710891265422,0.00048445351421833
MIDDLE FRONTAL  left,9578.41420362687,0.364530682563782,0.00104728166479617,0.000725292600691319,0.000491225626319647
INFERIOR FRONTAL  left,7010.69314919736,0.398005306720734,0.00108737638220191,0.000711019849404693,0.000468148937216029
PRECENTRAL  left,12217.0417736605,0.421800553798676,0.00106921815313399,0.000693274545483291,0.000430185697041452
POSTCENTRAL  left,6609.39244386349,0.438208103179932,0.000970748369581997,0.000618182879406959,0.000390489643905312
ANGULAR  left,2290.12958908578,0.416065961122513,0.000999656855128706,0.000599237042479217,0.000421026255935431
PRE-CUNEUS left,1404.55246866855,0.364148080348969,0.000833984522614628,0.000557229446712881,0.00040391570655629
CUNEUS left,2852.8557661141,0.379836320877075,0.000950760149862617,0.000619474798440933,0.000441382057033479
LINGUAL  left,3697.69935629067,0.364197075366974,0.00108241522684693,0.000719990697689354,0.000507613469380885
FUSIFORM  left,5559.37255321547,0.358642786741257,0.000990201137028635,0.000684852129779756,0.00047911997535266
PARAHIPPOCAMPAL  left,135.77843413552,0.348617225885391,0.00116860948037356,0.000770482642110437,0.000601507257670164
SUPERIOR OCCIPITAL  left,1392.48327452317,0.441261857748032,0.000980483484454453,0.000603063614107668,0.000386005529435351
INFERIOR OCCIPITAL left,1445.2859989092,0.395695269107819,0.00105357158463448,0.000649827590677887,0.000464765034848824
MIDDLE OCCIPITAL left,4897.07552448776,0.366603374481201,0.00100816087797284,0.000664689810946584,0.000478618312627077
ENTORHINAL AREA left,95.0449038948642,0.324663490056992,0.000792219361755997,0.000605093315243721,0.000418788433307782
SUPERIOR TEMPORAL left,6822.11199067581,0.368602693080902,0.00108396273571998,0.000755194458179176,0.000500231864862144
INFERIOR TEMPORAL left,2241.85281250426,0.365646690130234,0.00118875910993665,0.000799502653535455,0.000562370289117098
MIDDLE TEMPORAL left,5559.37255321547,0.369733870029449,0.00112367304973304,0.000752869003918022,0.000519941444508731
LATERAL FRONTO-ORBITAL left,1884.30293594739,0.357575446367264,0.00117652374319732,0.000799400382675231,0.000559089123271406
MIDDLE FRONTO-ORBITAL left,871.999277003674,0.333970308303833,0.00122540898155421,0.000875389436259866,0.000600654457230121
SUPRAMARGINAL left,4245.33904063727,0.3899045586586,0.00108241895213723,0.000683801306877285,0.000482048519188538
RECTUSleft,1107.34856283858,0.353582143783569,0.00104223133530468,0.000765638658776879,0.000498434295877814
INSULA left,7721.26695450659,0.162413194775581,0.00121574080549181,0.0010442656930536,0.000907824723981321
AMYGDALA left,2179.99819250919,0.201256036758423,0.00120391882956028,0.000983447884209454,0.000816145620774478
HIPPOCAMPUS left,5162.59779568611,0.189160972833633,0.00139559048693627,0.00114486424718052,0.000979331554844975
CEREBELLUM left,49884.9967013901,0.202240779995918,0.00112670275848359,0.000908318790607154,0.000784045143518597
CorticospinalTract left,1030.40745016178,0.491284310817719,0.00124659819994122,0.000768850790336728,0.000421078555518761
InferiorCerebellarPeduncle left,425.43909362463,0.571242988109589,0.00125660363119096,0.000643015548121184,0.000374047318473458
MedialLemniscus left,983.639322848436,0.530297040939331,0.00142315868288279,0.000735459558200091,0.000499253917951137
SuperiorCerebellarPeduncle left,636.649991168773,0.561152875423431,0.00188070221338421,0.00089317763922736,0.000626786088105291
CerebralPeduncle left,1131.48695112934,0.62892359495163,0.00165246659889817,0.000662732811179012,0.000440204341430217
AnteriorLimbInternalCapsule left,2241.85281250426,0.557877063751221,0.00121503754053265,0.00055743643315509,0.000358344637788832
PosteriorLimbInternalCapsule left,3249.63052364345,0.623174071311951,0.00138977926690131,0.000563953712116927,0.000331495888531208
PosteriorThalamicRadiation left,13253.4838208949,0.499487489461899,0.00129774061497301,0.000673760019708425,0.000438711605966091
AnteriorCoronaRadiata left,9024.73992220758,0.414232432842255,0.00119694357272238,0.000733050575945526,0.000508467201143503
SuperiorCoronaRadiata left,12316.6126253599,0.472474783658981,0.00118026044219732,0.000698272837325931,0.000410754961194471
PosteriorCoronaRadiata left,5945.58676586761,0.498308598995209,0.00122632610145956,0.000682130514178425,0.000412850145949051
Cingulum left,3687.13881141346,0.489051103591919,0.0012434464879334,0.000649755471386015,0.000437885348219424
CingulumHippocampal left,1658.00554572152,0.430760741233826,0.00131786579731852,0.000754675769712776,0.000546382274478674
FornixStriaTerminalis left,1104.33126430223,0.465150773525238,0.00151250755880028,0.000838550622574985,0.000572996330447495
SuperiorLongitudinalFasciculus left,6681.80760873577,0.423935532569885,0.00115981372073293,0.000736669870093465,0.000463235395727679
SuperiorFronto-occipitalFasciculus left,93.5362546266917,0.42301532626152,0.00107734929770231,0.000607958645559847,0.000465087592601776
InferiorFronto-occipitalFasciculus left,2095.51383349153,0.442755788564682,0.00126610195729882,0.00071140838554129,0.000507714285049587
SagittalStratum left,5603.12338199247,0.480150759220123,0.00132903957273811,0.000741352851036936,0.000472825457109138
ExternalCapsule left,2703.49948856503,0.388343095779419,0.00112756143789738,0.000732478278223425,0.000499120214954019
UncinateFasciculus left,1267.26538526486,0.396663546562195,0.00126108527183533,0.000763614021707326,0.000561032968107611
PontineCrossingTract left,1395.50057305951,0.479757696390152,0.00123451626859605,0.000762644049245864,0.000461383984657004
MiddleCerebellarPeduncle left,5873.17160099534,0.495732486248016,0.00130248640198261,0.000697735289577395,0.000455204397439957
Fornix  left,135.77843413552,0.416667580604553,0.00216242042370141,0.00122448755428195,0.0010123245883733
GenuCorpusCallosum left,2259.95660372233,0.574971675872803,0.00156799762044102,0.000692544970661402,0.00048954674275592
BodyCorpusCallosum left,3955.67838114816,0.552146732807159,0.00150943442713469,0.000665722240228206,0.000492704450152814
SpleniumCorpusCallosum left,4693.40787328448,0.56799703836441,0.00155525840818882,0.000710803898982704,0.000481115479487926
RetrolenticularInternalCapsule left,2011.02947447387,0.555776655673981,0.00143273978028446,0.00068977742921561,0.000414449634263292
Red Nucleus left,58.8373214587254,0.328679144382477,0.00108655786607414,0.000747995276469737,0.000554694735910743
Substancia Nigra left,205.176300471453,0.553957104682922,0.00120617193169892,0.000616574194282293,0.000330798939103261
TapatumLeft,696.995961895671,0.529724180698395,0.00175227760337293,0.000907170353457332,0.000696963281370699
CAUDATE NUCLEUS left,3969.25622456171,0.263543009757996,0.000947665190324187,0.000738476403057575,0.00057953002396971
PUTAMEN left,3058.03206658555,0.232029348611832,0.000892838055733591,0.00070734741166234,0.0005599235300906
THALAMUS left,7080.09101553329,0.356731772422791,0.00116324995178729,0.000812065263744444,0.000565283989999443
GLOBUS PALLIDUS left,1425.67355842296,0.35566833615303,0.00100138131529093,0.000709254178218544,0.00047369406092912
MIDBRAIN left,2689.92164515147,0.42447155714035,0.00120872142724693,0.000764428521506488,0.000518024491611868
Reticular formation left,184.055210717039,0.291100472211838,0.00112055498175323,0.000839854939840734,0.000643100414890796
MEDULLA left,1780.20613644349,0.47268807888031,0.00129434443078935,0.000755444460082799,0.00051943096332252
SUPERIOR PARIETAL  right,7918.90000863718,0.452713370323181,0.00102740037254989,0.000602616928517818,0.000401396362576634
